task,tier,dataset_name,status,error,n_rows,n_cols,target_col,accuracy,precision,recall,f1,mae,mse,rmse,r2,automl_models_tried,automl_ensemble_size,automl_best_model_weight,automl_best_model_name,target_source
classification,mid,andrewmvd_cyberbullying-classification,success,,47692.0,2.0,cyberbullying_type,0.3672292693154418,0.3644450747354897,0.3672292693154418,0.3643027199468733,,,,,20.0,2.0,0.74,SimpleClassificationPipeline,
classification,mid,christianlillelund_csgo-round-winner-classification,success,,122410.0,97.0,bomb_planted,0.8882035781390409,0.7889055962189954,0.8882035781390409,0.8356149785464532,,,,,7.0,1.0,1.0,MyDummyClassifier,
classification,mid,fedesoriano_heart-failure-prediction,success,,918.0,12.0,Sex,0.7934782608695652,0.753335694212799,0.7934782608695652,0.7447443259502325,,,,,56.0,8.0,0.82,SimpleClassificationPipeline,
classification,mid,fedesoriano_stellar-classification-dataset-sdss17,success,,100000.0,18.0,class,0.59445,0.3533708025,0.59445,0.4432510301357834,,,,,7.0,1.0,1.0,MyDummyClassifier,
classification,mid,nimapourmoradi_dry-bean-dataset-classification,success,,13611.0,17.0,Class,0.9225119353654058,0.9226782308574346,0.9225119353654058,0.9225635112606932,,,,,23.0,8.0,0.36,SimpleClassificationPipeline,
classification,mid,tanishqdublish_text-classification-documentation,success,,2225.0,2.0,Label,0.4719101123595505,0.4743396561161668,0.4719101123595505,0.4710373555704125,,,,,61.0,19.0,0.16,SimpleClassificationPipeline,
classification,mid,uciml_iris,success,,150.0,6.0,Species,1.0,1.0,1.0,1.0,,,,,86.0,29.0,0.08,SimpleClassificationPipeline,
classification,mid,uciml_pima-indians-diabetes-database,success,,768.0,9.0,Outcome,0.7272727272727273,0.7200995461865026,0.7272727272727273,0.7216083916083916,,,,,60.0,20.0,0.18,SimpleClassificationPipeline,
classification,mid,xhlulu_cpc-codes,success,,260476.0,7.0,class,0.941953316953317,0.9421011743545424,0.941953316953317,0.9419798222598909,,,,,9.0,2.0,0.6,SimpleClassificationPipeline,
classification,mid,yasserh_titanic-dataset,success,,891.0,12.0,Survived,0.776536312849162,0.7776300115018074,0.776536312849162,0.7682268438101499,,,,,57.0,17.0,0.44,SimpleClassificationPipeline,
regression,mid,CooperUnion_cardataset,success,,11914.0,16.0,MSRP,,,,,3628.963243594152,71848851.69445609,8476.370195694386,0.9698566216485064,22.0,1.0,1.0,SimpleRegressionPipeline,
regression,mid,camnugent_california-housing-prices,success,,20640.0,10.0,median_house_value,,,,,29921.4642644483,2100814620.707021,45834.64432835735,0.8396825223582361,23.0,4.0,0.36,SimpleRegressionPipeline,
regression,mid,harlfoxem_housesalesprediction,success,,21613.0,21.0,price,,,,,69060.00987066816,21040099020.7109,145052.05624433904,0.8608244702070068,22.0,4.0,0.34,SimpleRegressionPipeline,
regression,mid,hrokrin_the-largest-diamond-dataset-currely-on-kaggle,success,,219703.0,26.0,total_sales_price,,,,,608.595256048488,113350331.63644756,10646.611274788216,0.8540769166177853,16.0,1.0,1.0,SimpleRegressionPipeline,
regression,mid,lorenzozoppelletto_financial-risk-for-loan-approval,success,,20000.0,36.0,RiskScore,,,,,1.1521366697311402,2.105487368347624,1.451029761358334,0.9660883634662212,14.0,3.0,0.9,SimpleRegressionPipeline,
regression,mid,mirichoi0218_insurance,success,,1338.0,7.0,charges,,,,,2157.995756853887,18165416.84025092,4262.090665418899,0.8829915280743309,40.0,7.0,0.46,SimpleRegressionPipeline,
regression,mid,ranitsarkar01_porter-delivery-time-estimation,success,,197428.0,14.0,min_item_price,,,,,385.18790729056855,269103.87263804936,518.752226634305,-3.987836668217781e-06,9.0,1.0,1.0,MyDummyRegressor,
regression,mid,rupals_gpu-runtime,success,,241600.0,18.0,Run4 (ms),,,,,0.6179085717131169,3.1774975771980576,1.7825536674103413,0.9999763046988952,14.0,2.0,0.98,SimpleRegressionPipeline,
regression,mid,yasserh_uber-fares-dataset,success,,200000.0,9.0,passenger_count,,,,,0.9576964455217124,1.7010513164151333,1.3042435801701815,3.5422697002629455e-05,12.0,1.0,1.0,SimpleRegressionPipeline,
classification,hard,andrewmvd_cyberbullying-classification,success,,47692.0,2.0,cyberbullying_type,0.3672292693154418,0.3644450747354897,0.3672292693154418,0.3643027199468733,,,,,20.0,2.0,0.74,SimpleClassificationPipeline,
classification,hard,balaka18_email-spam-classification-dataset-csv,failed,"The least populated class in y has only 1 member, which is too few. The minimum number of groups for any class cannot be less than 2.",,,,,,,,,,,,,,,,
classification,hard,hetulmehta_website-classification,success,,1408.0,4.0,Category,0.9893617021276596,0.989897198939752,0.9893617021276596,0.9893561744625576,,,,,56.0,22.0,0.08,SimpleClassificationPipeline,
classification,hard,saurabhshahane_ecommerce-text-classification,success,,50424.0,2.0,Household,0.8477937530986613,0.8476461403500986,0.8477937530986613,0.847665546989555,,,,,23.0,4.0,0.7,SimpleClassificationPipeline,
classification,hard,shivamb_spam-url-prediction,success,,148303.0,2.0,is_spam,0.7883415933380533,0.7816886206759445,0.7883415933380533,0.7786530923904136,,,,,25.0,3.0,0.5,SimpleClassificationPipeline,
regression,hard,kanchana1990_colorado-real-estate-market-2026,success,,8362.0,11.0,listPrice,,,,,601062.7935197811,3940925967697.2007,1985176.5583184788,0.3044722673542002,3.0,1.0,1.0,SimpleRegressionPipeline,config
regression,hard,spittman1248_cdc-data-nutrition-physical-activity-obesity,success,,53392.0,33.0,Data_Value,,,,,7.94707764090032,103.50313536841914,10.1736490684719,-4.7736038438550565e-05,2.0,1.0,1.0,MyDummyRegressor,config
classification,easy,abhishek14398_heart-disease-classification,success,,303.0,14.0,target,0.8032786885245902,0.8221511395441824,0.8032786885245902,0.7975188303057155,,,,,72.0,25.0,0.16,SimpleClassificationPipeline,heuristic
classification,easy,brsahan_genomic-data-for-cancer,success,,3000.0,3.0,Cancer Present,0.945,0.9452424097564228,0.945,0.9449925128698076,,,,,70.0,14.0,0.34,SimpleClassificationPipeline,heuristic
classification,easy,fedesoriano_stellar-classification-dataset-sdss17,success,,100000.0,18.0,class,0.59445,0.3533708025,0.59445,0.4432510301357834,,,,,7.0,1.0,1.0,MyDummyClassifier,config
classification,easy,himanshunakrani_naive-bayes-classification-data,success,,995.0,3.0,diabetes,0.914572864321608,0.9146190548703113,0.914572864321608,0.914572864321608,,,,,72.0,31.0,0.08,SimpleClassificationPipeline,heuristic
classification,easy,mahmoudshaheen1134_heart-disease-data,success,,303.0,14.0,target,0.8032786885245902,0.8221511395441824,0.8032786885245902,0.7975188303057155,,,,,73.0,25.0,0.16,SimpleClassificationPipeline,heuristic
classification,easy,priyanshusethi_happiness-classification-dataset,success,,143.0,7.0,happy,0.6206896551724138,0.6184922244759974,0.6206896551724138,0.6188505747126436,,,,,71.0,17.0,0.54,SimpleClassificationPipeline,heuristic
classification,easy,ritwikb3_heart-disease-cleveland,success,,303.0,14.0,target,0.8688524590163934,0.8766252119841718,0.8688524590163934,0.8689934778776661,,,,,77.0,17.0,0.16,SimpleClassificationPipeline,heuristic
classification,easy,ritwikb3_heart-disease-statlog,success,,270.0,14.0,target,0.8148148148148148,0.818070818070818,0.8148148148148148,0.8153256704980844,,,,,80.0,19.0,0.16,SimpleClassificationPipeline,heuristic
classification,easy,robikscube_eye-state-classification-eeg-dataset,success,,14980.0,15.0,eyeDetection,0.9766355140186916,0.9766471247014692,0.9766355140186916,0.9766254678256218,,,,,19.0,7.0,0.72,SimpleClassificationPipeline,heuristic
classification,easy,uciml_glass,success,,214.0,10.0,Type,0.6744186046511628,0.6413181551690443,0.6744186046511628,0.6430549945178602,,,,,75.0,15.0,0.3,SimpleClassificationPipeline,heuristic
classification,easy,yasserh_heart-disease-dataset,success,,303.0,14.0,target,0.8032786885245902,0.8221511395441824,0.8032786885245902,0.7975188303057155,,,,,73.0,25.0,0.16,SimpleClassificationPipeline,heuristic
classification,easy,yasserh_wine-quality-dataset,success,,1143.0,13.0,quality,0.6812227074235808,0.6481236051162504,0.6812227074235808,0.661863377848961,,,,,63.0,13.0,0.32,SimpleClassificationPipeline,heuristic
regression,easy,ganjerlawrence_mobile-phone-price-prediction-cleaned-dataset,success,,807.0,8.0,Price,,,,,2797.364397307973,51070772.47057256,7146.381774756549,0.8790701871431805,50.0,4.0,0.48,SimpleRegressionPipeline,heuristic
regression,easy,govindaramsriram_crop-yield-of-a-farm,success,,3000.0,6.0,crop_yield,,,,,0.2424405719836553,0.0813485021766915,0.2852165881864019,0.9999962012896744,65.0,12.0,0.2,SimpleRegressionPipeline,heuristic
regression,easy,nalisha_numerical-feature-based-target-prediction-using-ml,success,,10000.0,7.0,target,,,,,3.949538872176644,24.688196159070387,4.968721783222561,0.9953568778356496,42.0,1.0,1.0,SimpleRegressionPipeline,heuristic
regression,easy,quantbruce_real-estate-price-prediction,success,,414.0,8.0,Y house price of unit area,,,,,4.207744642804904,35.36839101200799,5.9471330077616384,0.7891723600727182,71.0,8.0,0.52,SimpleRegressionPipeline,config
regression,easy,ranitsarkar01_porter-delivery-time-estimation,success,,197428.0,14.0,actual_delivery_time,,,,,14.065635223942577,1352.746441880649,36.77970149254408,-0.0010663870592488,11.0,1.0,1.0,MyDummyRegressor,config
regression,easy,sakshisatre_the-boston-housing-dataset,success,,506.0,14.0,MEDV,,,,,1.9799171053311408,10.050093147018767,3.1701881879501674,0.8629541159079824,46.0,6.0,0.42,SimpleRegressionPipeline,heuristic
regression,easy,thedevastator_age-prediction-for-individuals-using-multi-omic,success,,104.0,13.0,KLF14_2,,,,,1.1830282190406605,2.115843117627873,1.454593798153929,0.4653700212709692,80.0,6.0,0.28,SimpleRegressionPipeline,heuristic
regression,easy,zubairdhuddi_linear-regression,success,,300.0,2.0,y,,,,,2.642739143537605,10.364482489327177,3.2193916334188324,0.9897996916651902,88.0,6.0,0.64,SimpleRegressionPipeline,heuristic
classification,easy,abhishek14398_heart-disease-classification,success,,303.0,14.0,target,0.819672131147541,0.8345628415300547,0.819672131147541,0.815437425812454,,,,,71.0,23.0,0.14,SimpleClassificationPipeline,heuristic
classification,easy,brsahan_genomic-data-for-cancer,success,,3000.0,3.0,Cancer Present,0.9416666666666668,0.9419072606196706,0.9416666666666668,0.9416587257710076,,,,,71.0,14.0,0.3,SimpleClassificationPipeline,heuristic
classification,easy,fedesoriano_stellar-classification-dataset-sdss17,success,,100000.0,18.0,class,0.59445,0.3533708025,0.59445,0.4432510301357834,,,,,7.0,1.0,1.0,MyDummyClassifier,config
classification,easy,himanshunakrani_naive-bayes-classification-data,success,,995.0,3.0,diabetes,0.914572864321608,0.9146190548703113,0.914572864321608,0.914572864321608,,,,,72.0,31.0,0.08,SimpleClassificationPipeline,heuristic
classification,easy,mahmoudshaheen1134_heart-disease-data,success,,303.0,14.0,target,0.8032786885245902,0.8221511395441824,0.8032786885245902,0.7975188303057155,,,,,73.0,25.0,0.16,SimpleClassificationPipeline,heuristic
classification,easy,priyanshusethi_happiness-classification-dataset,success,,143.0,7.0,happy,0.6206896551724138,0.6184922244759974,0.6206896551724138,0.6188505747126436,,,,,71.0,17.0,0.54,SimpleClassificationPipeline,heuristic
