AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,eyeDetection
-0.015175739998784,-0.368908191201457,0.013450676905665,-0.0087144013835889,-0.5521694529876128,-0.0127713893596746,-0.0122914475247064,-0.6007486301784798,-0.0176922491060097,-0.9173859842100804,-0.7301072964218077,-0.2285052004329144,-0.025312079529314,-0.0129748235371448,1
-0.0170256679130482,-0.4581547648289579,-0.206012591559127,-0.0114673472039379,-0.2864635978265925,-0.0173325535434202,-0.0156365375991411,-0.6355708697750302,-0.0148134900961623,-0.000951378424619,-0.2007928029808852,-0.54937813013591,-0.0206444789969676,-0.0123654285059213,0
-0.015175739998784,-0.279661617573966,0.0249302940253667,-0.0082236255270364,-0.2271619660138261,-0.0103164299264441,-0.0121805965865672,-0.3730384947776026,-0.0184131090857112,-0.2301257335278208,-0.4450714417038594,-0.5741717623635172,-0.0210748251453403,-0.012626840302045,0
-0.0365763160655291,0.278455979452597,-1.0485264519321762,-0.0115651189566105,-0.3305080136875148,-0.0101420525850867,-0.010398287385114,-0.4082021288799778,-0.0162552100555654,-1.2004373379327364,-1.2459242702799809,-1.2281940804453222,-0.052903888349956,-0.02272514403672,0
-0.0190842644857541,-0.4581547648289579,-0.5175378875132556,-0.0113695754512653,-0.1534667342465337,-0.0141766655812033,-0.0127391983728763,0.3445727565156922,-0.0001716068720946,0.1472760714357285,0.1522599641442138,-0.1295713863984428,-0.0138582512726348,-0.0124519999448974,1
-0.0147624155407165,-0.2907630206349516,-0.0790615316471784,-0.0107791107488506,-0.2421313099665729,-0.0089145728684715,-0.0100635610228899,0.3097505169191728,-0.0073708448511919,-0.0548283770440732,-0.0242664194183357,0.0432618945668476,-0.0074940938092057,-0.010537243412251,0
-0.0071500223664026,0.0553395453838646,0.5097752994337372,-0.0084191690323816,-0.2124804940602028,-0.0089145728684715,-0.0142976321502446,-0.1630808736808566,-0.0104930111269123,-0.1896522809063817,-1.3001790058576803,-0.215988026881099,-0.0189479220658842,-0.0081862347263332,0
-0.0059140618510158,0.189209405825106,-0.0329179726366283,-0.0057659120578947,0.067906833054493,-0.0055843075648972,-0.0079443519114058,-0.2330667473797823,-0.0073708448511919,0.0799955268182592,-0.1600355869859352,-0.006325369888367,-0.0219189656671472,-0.0065328899898105,0
-0.0120898515691335,0.1221656383195763,-0.0905411487668801,-0.006061144409102,0.1418899368208827,-0.0068117872815122,-0.003375554421827,-0.2678889869763017,-0.0078529784739792,0.2820999752980609,-0.078521154996035,-0.2285052004329144,-0.0155548082037182,-0.0135842185683683,1
-0.0087952944810409,0.2451517702696601,-0.04439758975633,-0.0086166296309163,0.1122391209145126,-0.0196097164717369,-0.0027061016973787,-0.0753424856777998,-0.0078529784739792,0.1068026188142894,0.0977405713197882,0.0926084441460826,-0.0079161640701088,-0.0102758316161273,0
-0.0046781013356291,0.099962832197615,0.1286970291661482,-0.0069449243695344,0.2155851685881751,-0.0078614704932139,-0.0089485309980782,0.6074465260189756,-0.0059338058007481,0.2552928833020307,-0.1872952833981359,0.0800912705942891,-0.0019740768675835,-0.0080130918483812,1
-0.0172343365714899,-0.0339070282436264,-0.4713943285027054,-0.0106813389961782,-0.2271619660138261,-0.0090889502098292,-0.0020366489729305,-0.6881456236756807,-0.0102542847699981,-0.4456337280056376,-0.4585689612866087,-0.2407816591087282,-0.0388928108654487,-0.0153258322230626,0
-0.0221701529154046,-0.7596340440340237,-0.1945329744394253,-0.0126482766087673,-0.3748403015475344,-0.0139988690762898,-0.0111785910477015,-0.0579313658795556,-0.0085738384536808,-0.3917567293861834,-0.472066480869358,-0.3271982995913625,-0.0261644959385898,-0.0144550253957155,0
-0.024642073946178,-1.0833161293610507,-0.7484807730977289,-0.014613297128167,-0.3305080136875148,-0.0127713893596746,-0.0087246555739932,-0.197903113277376,-0.0109751447496996,-0.0143549244226102,-0.1465380674031859,-0.487755121880861,-0.0147023917944424,-0.0142801850385677,1
