a,b,c,d,e,f,target
3.374770457129719,1.937843223283362,4.689484917533214,6.214126355660986,2.4854890113187444,1.28987318462592,44.81842600158672
7.755052967189994,15.787592669238489,-3.048941943271725,8.008863475122983,-0.408090202888399,2.443451270721764,-136.9270289028474
6.238958362916385,4.1767404090396765,4.893550151275191,6.123578302865208,-9.51794986495678,0.5540500558949153,-65.41873567374164
0.3559023080647638,16.118112940378037,-3.717517943549351,3.9923428368334672,4.075298304016021,2.010077494330045,-108.78054824193843
5.771170823879065,18.8382108970296,-1.452490640537233,8.61091893105641,2.1394285592246742,2.844739862115975,-150.4518134065853
2.474629812331464,0.0285145657506524,-0.9127407172373524,4.2784175340804005,-0.4518987705923276,2.209696302358575,8.298760780370927
1.4707348092903794,19.529655524017414,2.829216529408951,1.8465854413359664,2.933641961102776,0.7389499978028577,-70.28615359153547
6.427774134799279,8.681527883938392,0.7950744243437748,3.0733798411158597,7.644106267169192,0.9489762694518552,-98.97177211568408
4.698043214486816,7.4930618330652194,-1.0788660954248162,3.309402011169124,8.865050093170893,2.9217008560363324,-133.132645707816
0.8134878064189976,6.888560924343765,-4.468504078270521,3.5655220344093674,4.670897942981192,2.8805367143032985,-59.19812156979026
3.881657061269955,0.5656985658195945,2.712010290366336,4.107204380416721,9.516877260708917,2.478276833582359,-92.7558994585324
9.614175778465734,10.522855193782927,2.998582217528911,8.068989060417326,-9.297222794355344,0.5247861127281217,-97.0775941695576
2.9785939839021127,7.242975669604736,-1.4000119056022706,3.037513631137603,6.184284137714403,0.4682715695578665,-88.5576439972597
3.524810469433511,4.800768375282996,3.8249312741914654,7.463186903385943,5.321707280997483,1.7215153456007204,-21.65043902679609
1.6136735838838312,15.007778541814032,1.3575633436751913,8.060686841978214,2.05737872133437,1.974682186594052,-104.61262863657964
2.3369044882536363,8.356376122125074,-4.101295293106601,9.397719132313773,8.864837274779301,2.666660910425799,-155.65816728499522
4.926180939928696,9.445619286576022,-1.638695195168545,7.89938285186324,2.407553723635345,0.8824491944911991,-65.08278875244069
8.232263592464994,5.383072819421795,-1.0754831113773324,2.288788641328276,-7.346936607396051,2.092252419862633,-88.06525446655077
