Area,Room,Address,Price,Price(USD),Parking_True,Warehouse_True,Elevator_True
63,-1.4239177461487142,156,-0.43735372032591396,61666.67,True,True,True
60,-1.4239177461487142,156,-0.43735372032591396,61666.67,True,True,True
79,-0.11338455885202178,117,-0.5950608588673938,18333.33,True,True,True
95,-0.11338455885202178,152,-0.552297961685954,30083.33,True,True,True
123,-0.11338455885202178,150,0.18740917466533294,233333.33,True,True,True
70,-0.11338455885202178,106,-0.4130910836272248,68333.33,True,True,False
87,-0.11338455885202178,117,-0.5889951996927215,20000.0,True,True,True
59,-1.4239177461487142,156,-0.4009597652778802,71666.67,True,True,True
54,-0.11338455885202178,13,-0.6019757103265202,16433.33,True,True,False
71,-1.4239177461487142,183,-0.37427086490932204,79000.0,True,True,True
68,-0.11338455885202178,183,-0.36456581022984635,81666.67,True,True,True
64,-1.4239177461487142,100,-0.40702542445255246,70000.0,True,True,True
54,-1.4239177461487142,100,-0.45676382968486534,56333.33,False,True,True
136,1.1971486284446706,135,0.672661908639117,366666.67,True,True,True
95,-0.11338455885202178,188,-0.055217192321559055,166666.67,True,True,True
63,-1.4239177461487142,71,-0.5926345951975248,19000.0,False,True,False
155,1.1971486284446706,100,0.15101521961729916,223333.33,True,True,True
64,-0.11338455885202178,120,-0.48587899372329235,48333.33,False,True,False
140,1.1971486284446706,183,0.11462126456926534,213333.33,True,True,True
42,-1.4239177461487142,120,-0.4931577847328991,46333.33,False,True,False
93,-0.11338455885202178,150,0.18740917466533294,233333.33,True,True,True
87,-0.11338455885202178,154,-0.3585001510551741,83333.33,True,True,True
65,-1.4239177461487142,156,-0.4337143248211106,62666.67,True,True,True
99,-0.11338455885202178,99,-0.38555299097421253,75900.0,True,True,True
105,-0.11338455885202178,135,0.20560615218934986,238333.33,True,True,True
160,1.1971486284446706,179,1.1512424175207614,498166.67,True,True,True
77,-0.11338455885202178,12,-0.4469374618218962,59033.33,True,True,True
123,-0.11338455885202178,120,-0.16937289798889174,135300.0,True,True,True
110,-0.11338455885202178,163,-0.5853558041879181,21000.0,True,True,True
100,-0.11338455885202178,183,-0.27358092260976186,106666.67,True,True,True
90,-0.11338455885202178,141,-0.4798133345486201,50000.0,False,True,False
49,-1.4239177461487142,183,-0.39489410610320785,73333.33,True,True,True
96,-0.11338455885202178,190,0.29319427067161785,262400.0,True,True,True
67,-0.11338455885202178,52,-0.37669712857919097,78333.33,True,True,False
68,-0.11338455885202178,183,-0.3585001510551741,83333.33,True,True,True
62,-1.4239177461487142,181,-0.4009597652778802,71666.67,True,False,True
55,-1.4239177461487142,183,-0.4009597652778802,71666.67,True,True,True
110,-0.11338455885202178,183,-0.20685867168836655,125000.0,True,True,True
129,-0.11338455885202178,183,-0.024888896448197556,175000.0,True,True,True
109,-0.11338455885202178,183,-0.07584043351544488,161000.0,True,True,True
58,-1.4239177461487142,135,-0.24931828591107266,113333.33,True,True,True
55,-1.4239177461487142,135,-0.19472735333902197,128333.33,True,True,True
150,-0.11338455885202178,152,-0.5162072895966539,40000.0,False,True,True
60,-0.11338455885202178,192,-0.3403031735311572,88333.33,True,True,True
130,1.1971486284446706,147,-0.055217192321559055,166666.67,True,True,False
88,-0.11338455885202178,61,-0.08554548819492055,158333.33,True,True,True
51,-1.4239177461487142,61,-0.30026982297832,99333.33,True,True,True
113,1.1971486284446706,150,0.18740917466533294,233333.33,True,True,False
110,-0.11338455885202178,128,-0.41491078137962645,67833.33,True,True,True
60,-1.4239177461487142,1,-0.3633526783949119,82000.0,True,True,True
98,-0.11338455885202178,117,-0.5962739907023282,18000.0,True,True,True
62,-0.11338455885202178,111,-0.48587899372329235,48333.33,False,False,True
150,1.1971486284446706,50,0.551348725145671,333333.33,True,True,True
75,-0.11338455885202178,115,-0.5847492382704509,21166.67,False,False,False
61,-1.4239177461487142,122,-0.4155173472970937,67666.67,True,True,False
72,-0.11338455885202178,156,-0.37669712857919097,78333.33,True,True,True
100,-0.11338455885202178,125,-0.2978435593084511,100000.0,True,True,True
122,1.1971486284446706,14,0.21167181136402216,240000.0,True,True,True
215,1.1971486284446706,113,-0.4494850386752586,58333.33,True,True,True
101,-0.11338455885202178,127,-0.26144960426041725,110000.0,True,True,True
67,-0.11338455885202178,122,-0.32210619600714024,93333.33,True,True,True
72,-0.11338455885202178,122,-0.39489410610320785,73333.33,True,True,False
63,-1.4239177461487142,122,-0.39489410610320785,73333.33,True,True,False
75,-0.11338455885202178,122,-0.39489410610320785,73333.33,True,True,False
109,-0.11338455885202178,156,-0.23718696756172808,116666.67,True,True,True
122,-0.11338455885202178,14,0.18740917466533294,233333.33,True,True,True
70,-1.4239177461487142,26,-0.28571224095910647,103333.33,True,True,True
60,-1.4239177461487142,183,-0.36456581022984635,81666.67,True,True,True
53,-1.4239177461487142,40,-0.42886179748137276,64000.0,True,True,False
90,-1.4239177461487142,114,-0.55866690381936,28333.33,False,True,False
72,-0.11338455885202178,12,-0.4616163570246032,55000.0,True,True,True
74,-0.11338455885202178,12,-0.45555069784993085,56666.67,True,True,True
88,1.1971486284446706,115,-0.5938477270324594,18666.67,False,False,True
63,-1.4239177461487142,122,-0.4009597652778802,71666.67,True,True,True
